district_name,fort_name,link
Raigad,Avchitgad,https://en.wikipedia.org/wiki/Avchitgad
Raigad,Birwadi fort,https://en.wikipedia.org/wiki/Birwadi_fort
Raigad,Dhak Bahiri,https://en.wikipedia.org/wiki/Dhak_Bahiri
Raigad,Dronagiri Fort,https://en.wikipedia.org/wiki/Dronagiri_Fort
Raigad,Ghosalegad Fort,https://en.wikipedia.org/wiki/Ghosalegad_Fort
Raigad,Irshalgad,https://en.wikipedia.org/wiki/Irshalgad
Raigad,Kalavantin Durg,https://en.wikipedia.org/wiki/Kalavantin_Durg
Raigad,Karnala Fort,https://en.wikipedia.org/wiki/Karnala_Fort
Raigad,Khanderi,https://en.wikipedia.org/wiki/Khanderi
Raigad,Kolaba Fort,https://en.wikipedia.org/wiki/Kolaba_Fort
Raigad,Konkan Diva Fort,https://en.wikipedia.org/wiki/Konkan_Diva_Fort
Raigad,Korlai Fort,https://en.wikipedia.org/wiki/Korlai_Fort
Raigad,Kothaligad,https://en.wikipedia.org/wiki/Kothaligad
Raigad,Kurdugad,https://en.wikipedia.org/wiki/Kurdugad
Raigad,Lingana,https://en.wikipedia.org/wiki/Lingana
Raigad,Mangad Fort,https://en.wikipedia.org/wiki/Mangad_Fort
Raigad,Mangalgad,https://en.wikipedia.org/wiki/Mangalgad
Raigad,Manikgad (Raigad),https://en.wikipedia.org/wiki/Manikgad_(Raigad)
Raigad,Mrugagad,https://en.wikipedia.org/wiki/Mrugagad
Raigad,Murud-Janjira,https://en.wikipedia.org/wiki/Murud-Janjira
Raigad,Padargad,https://en.wikipedia.org/wiki/Padargad
Raigad,Padmadurg,https://en.wikipedia.org/wiki/Padmadurg
Raigad,Prabalgad,https://en.wikipedia.org/wiki/Prabalgad
Raigad,Raigad Fort,https://en.wikipedia.org/wiki/Raigad_Fort
Raigad,Revdanda Fort,https://en.wikipedia.org/wiki/Revdanda_Fort
Raigad,Sagargad,https://en.wikipedia.org/wiki/Sagargad
Raigad,Sarasgad,https://en.wikipedia.org/wiki/Sarasgad
Raigad,Sarjekot fort,https://en.wikipedia.org/wiki/Sarjekot_fort
Raigad,Sudhagad,https://en.wikipedia.org/wiki/Sudhagad
Raigad,Surgad,https://en.wikipedia.org/wiki/Surgad
Raigad,Talagad,https://en.wikipedia.org/wiki/Talagad
Raigad,Tungi fort,https://en.wikipedia.org/wiki/Tungi_fort
Raigad,Underi,https://en.wikipedia.org/wiki/Underi
Raigad,Vikatgad,https://en.wikipedia.org/wiki/Vikatgad
Ratnagiri,Anjanvel Fort,https://en.wikipedia.org/wiki/Anjanvel_Fort
Ratnagiri,Bankot fort,https://en.wikipedia.org/wiki/Bankot_fort
Ratnagiri,Dativare fort,https://en.wikipedia.org/wiki/Dativare_fort
Ratnagiri,Fattegad,https://en.wikipedia.org/wiki/Fattegad
Ratnagiri,Goa Fort,https://en.wikipedia.org/wiki/Goa_Fort
Ratnagiri,Jaigad Fort,https://en.wikipedia.org/wiki/Jaigad_Fort
Ratnagiri,Mahipatgad,https://en.wikipedia.org/wiki/Mahipatgad
Ratnagiri,Mandangad fort,https://en.wikipedia.org/wiki/Mandangad_fort
Ratnagiri,Prachitgad,https://en.wikipedia.org/wiki/Prachitgad
